customer_id,title,rental_date
14,"OUTBREAK DIVINE","2005-05-26 00:37:28"
14,"VIDEOTAPE ARSENIC","2005-05-27 04:34:41"
14,"HANDICAP BOONDOCK","2005-05-28 04:25:33"
14,"DIARY PANIC","2005-05-28 22:04:30"
14,"SOUP WISDOM","2005-05-29 20:24:28"
14,"TITANS JERK","2005-06-15 13:32:15"
14,"DONNIE ALLEY","2005-07-06 10:21:49"
14,"BROTHERHOOD BLANKET","2005-07-08 23:00:07"
14,"INDEPENDENCE HOTEL","2005-07-09 06:37:07"
14,"MONSOON CAUSE","2005-07-09 16:10:25"
14,"CASPER DRAGONFLY","2005-07-09 19:14:32"
14,"ROCKY WAR","2005-07-10 03:29:48"
14,"FORREST SONS","2005-07-28 16:23:01"
14,"VIETNAM SMOOCHY","2005-07-28 16:45:11"
14,"ROCKETEER MOTHER","2005-07-29 11:11:33"
14,"RECORDS ZORRO","2005-07-29 22:46:08"
14,"ANALYZE HOOSIERS","2005-07-30 21:36:15"
14,"HANKY OCTOBER","2005-07-31 03:21:16"
14,"IDOLS SNATCHERS","2005-08-01 05:23:00"
14,"AGENT TRUMAN","2005-08-01 11:55:33"
14,"TRAIN BUNCH","2005-08-02 22:18:24"
14,"CUPBOARD SINNERS","2005-08-17 00:27:23"
14,"HORN WORKING","2005-08-18 19:16:47"
14,"DRIFTER COMMANDMENTS","2005-08-20 11:20:12"
14,"GROUNDHOG UNCUT","2006-02-14 15:16:03"
14,"PET HAUNTING","2005-08-22 08:43:50"
14,"WESTWARD SEABISCUIT","2005-08-22 22:08:11"
14,"COMANCHEROS ENEMY","2005-08-23 22:25:26"
